"","trI","method","n"
"1",348.790426182545,"UNIF",600
"2",374.131411748116,"MORE(A-opt)",600
"3",375.259305248164,"MORE(L-opt)",600
"4",390.47034519907,"LEV",600
"5",388.822134889362,"DKDO",600
"6",352.963354591054,"UNIF",800
"7",404.890031120551,"MORE(A-opt)",800
"8",405.925618082358,"MORE(L-opt)",800
"9",460.650023480097,"LEV",800
"10",458.858183645706,"DKDO",800
"11",355.490159226224,"UNIF",1000
"12",430.864077424254,"MORE(A-opt)",1000
"13",430.515471761683,"MORE(L-opt)",1000
"14",518.78019168683,"LEV",1000
"15",519.684076220485,"DKDO",1000
"16",343.60529586362,"UNIF",1500
"17",429.998615698812,"MORE(A-opt)",1500
"18",428.703518606438,"MORE(L-opt)",1500
"19",592.899423149483,"LEV",1500
"20",599.546593023707,"DKDO",1500
"21",339.907016413328,"UNIF",2000
"22",430.014608409572,"MORE(A-opt)",2000
"23",426.384077751562,"MORE(L-opt)",2000
"24",633.118029494976,"LEV",2000
"25",655.844211639192,"DKDO",2000
"26",338.426756589563,"UNIF",2500
"27",432.785392392452,"MORE(A-opt)",2500
"28",426.802890759315,"MORE(L-opt)",2500
"29",679.313676367487,"LEV",2500
"30",700.99211665343,"DKDO",2500
"31",342.002922188436,"UNIF",3000
"32",440.856364857975,"MORE(A-opt)",3000
"33",438.896945734317,"MORE(L-opt)",3000
"34",727.551742208524,"LEV",3000
"35",761.095197996285,"DKDO",3000
"36",346.068360727844,"UNIF",3500
"37",443.018821996588,"MORE(A-opt)",3500
"38",437.307088345626,"MORE(L-opt)",3500
"39",768.551233096044,"LEV",3500
"40",800.061952262936,"DKDO",3500
"41",345.141894021255,"UNIF",4000
"42",449.975894964231,"MORE(A-opt)",4000
"43",443.822807876854,"MORE(L-opt)",4000
"44",799.229393464627,"LEV",4000
"45",846.384381259304,"DKDO",4000
"46",345.132305132314,"UNIF",4500
"47",447.25657462385,"MORE(A-opt)",4500
"48",441.258547566706,"MORE(L-opt)",4500
"49",821.502103294264,"LEV",4500
"50",863.262941494996,"DKDO",4500
"51",342.679570601135,"UNIF",5000
"52",442.711610088883,"MORE(A-opt)",5000
"53",434.634157978195,"MORE(L-opt)",5000
"54",837.134126637431,"LEV",5000
"55",881.574893763678,"DKDO",5000
