"","trI","method","n"
"1",184.719540244688,"UNIF",600
"2",193.297542845492,"MORE(A-opt)",600
"3",192.400229735062,"MORE(L-opt)",600
"4",202.652051403171,"LEV",600
"5",205.734745389302,"DKDO",600
"6",183.792926776804,"UNIF",800
"7",199.070071866929,"MORE(A-opt)",800
"8",197.421060729701,"MORE(L-opt)",800
"9",221.599840580285,"LEV",800
"10",227.085897151538,"DKDO",800
"11",187.746835411355,"UNIF",1000
"12",208.430796184059,"MORE(A-opt)",1000
"13",205.547599055945,"MORE(L-opt)",1000
"14",245.034823534641,"LEV",1000
"15",249.678652248637,"DKDO",1000
"16",185.038723707433,"UNIF",1500
"17",208.353838812863,"MORE(A-opt)",1500
"18",204.720582942831,"MORE(L-opt)",1500
"19",268.397813250491,"LEV",1500
"20",274.532216191776,"DKDO",1500
"21",188.35778896067,"UNIF",2000
"22",215.081855808061,"MORE(A-opt)",2000
"23",210.435278171828,"MORE(L-opt)",2000
"24",291.92086530639,"LEV",2000
"25",297.650254148279,"DKDO",2000
"26",185.046366007758,"UNIF",2500
"27",214.080336599071,"MORE(A-opt)",2500
"28",209.298008848848,"MORE(L-opt)",2500
"29",303.861298453314,"LEV",2500
"30",309.258683440906,"DKDO",2500
"31",186.091565648081,"UNIF",3000
"32",214.428862103895,"MORE(A-opt)",3000
"33",208.750715359023,"MORE(L-opt)",3000
"34",318.899317660516,"LEV",3000
"35",324.67555586648,"DKDO",3000
"36",185.368506566034,"UNIF",3500
"37",215.791333471629,"MORE(A-opt)",3500
"38",210.298622499774,"MORE(L-opt)",3500
"39",329.62910167192,"LEV",3500
"40",334.324230509687,"DKDO",3500
"41",183.773434570005,"UNIF",4000
"42",214.199915160053,"MORE(A-opt)",4000
"43",208.425754215518,"MORE(L-opt)",4000
"44",336.112190140656,"LEV",4000
"45",341.28418750843,"DKDO",4000
"46",184.318693900619,"UNIF",4500
"47",213.306325683582,"MORE(A-opt)",4500
"48",208.087968966975,"MORE(L-opt)",4500
"49",345.088967275751,"LEV",4500
"50",349.204679734162,"DKDO",4500
"51",184.08488413013,"UNIF",5000
"52",213.723488097937,"MORE(A-opt)",5000
"53",207.857811918421,"MORE(L-opt)",5000
"54",355.204646954999,"LEV",5000
"55",360.387875686646,"DKDO",5000
