"","trI","method","n"
"1",269.078352838351,"UNIF",600
"2",303.279844452383,"MORE(A-opt)",600
"3",302.010602584153,"MORE(L-opt)",600
"4",308.727957035923,"LEV",600
"5",309.13715532046,"DKDO",600
"6",265.184638015898,"UNIF",800
"7",324.449575274556,"MORE(A-opt)",800
"8",320.319323229714,"MORE(L-opt)",800
"9",352.072692712607,"LEV",800
"10",353.402292020244,"DKDO",800
"11",266.181303589817,"UNIF",1000
"12",342.994387855837,"MORE(A-opt)",1000
"13",336.832183311947,"MORE(L-opt)",1000
"14",391.229715387201,"LEV",1000
"15",392.494202697021,"DKDO",1000
"16",265.589669629761,"UNIF",1500
"17",353.334286850106,"MORE(A-opt)",1500
"18",345.096495601245,"MORE(L-opt)",1500
"19",455.05718952079,"LEV",1500
"20",456.590807317537,"DKDO",1500
"21",266.853557287405,"UNIF",2000
"22",361.532303026038,"MORE(A-opt)",2000
"23",351.499033625032,"MORE(L-opt)",2000
"24",501.091759720094,"LEV",2000
"25",502.89035968567,"DKDO",2000
"26",265.745075665125,"UNIF",2500
"27",363.557315376947,"MORE(A-opt)",2500
"28",352.461263105643,"MORE(L-opt)",2500
"29",533.729145747767,"LEV",2500
"30",534.878425377569,"DKDO",2500
"31",264.442690622561,"UNIF",3000
"32",362.415572738325,"MORE(A-opt)",3000
"33",351.500704681225,"MORE(L-opt)",3000
"34",556.295639773295,"LEV",3000
"35",558.203190144388,"DKDO",3000
"36",263.147373180634,"UNIF",3500
"37",363.712908733431,"MORE(A-opt)",3500
"38",352.273731711213,"MORE(L-opt)",3500
"39",578.938649936017,"LEV",3500
"40",580.58322481922,"DKDO",3500
"41",261.665293082404,"UNIF",4000
"42",360.556293663561,"MORE(A-opt)",4000
"43",348.819726177583,"MORE(L-opt)",4000
"44",596.681174894532,"LEV",4000
"45",599.052029857275,"DKDO",4000
"46",261.653048484183,"UNIF",4500
"47",364.627008760209,"MORE(A-opt)",4500
"48",353.065512471553,"MORE(L-opt)",4500
"49",618.354570303568,"LEV",4500
"50",620.06051970112,"DKDO",4500
"51",261.940790451278,"UNIF",5000
"52",364.95767029318,"MORE(A-opt)",5000
"53",352.542589765117,"MORE(L-opt)",5000
"54",635.119422774801,"LEV",5000
"55",636.454423664161,"DKDO",5000
