"","trI","method","n"
"1",96.3117767255367,"UNIF",600
"2",114.776499186409,"MORE(A-opt)",600
"3",114.712388328856,"MORE(L-opt)",600
"4",115.149787029876,"LEV",600
"5",109.888084445678,"DKDO",600
"6",95.969152798595,"UNIF",800
"7",144.106127610519,"MORE(A-opt)",800
"8",143.347937067035,"MORE(L-opt)",800
"9",146.825233728194,"LEV",800
"10",137.215787580361,"DKDO",800
"11",94.9170196371044,"UNIF",1000
"12",165.87068387534,"MORE(A-opt)",1000
"13",164.006139509388,"MORE(L-opt)",1000
"14",171.904093006088,"LEV",1000
"15",160.880510445471,"DKDO",1000
"16",91.9245711983747,"UNIF",1500
"17",199.807737924323,"MORE(A-opt)",1500
"18",193.953906907358,"MORE(L-opt)",1500
"19",214.964988568669,"LEV",1500
"20",213.792930502969,"DKDO",1500
"21",96.9526985920486,"UNIF",2000
"22",237.5697587547,"MORE(A-opt)",2000
"23",226.639666438926,"MORE(L-opt)",2000
"24",263.637025546609,"LEV",2000
"25",263.839568712012,"DKDO",2000
"26",97.1657815714204,"UNIF",2500
"27",257.568946144931,"MORE(A-opt)",2500
"28",242.61839268309,"MORE(L-opt)",2500
"29",294.132370764996,"LEV",2500
"30",293.81416715023,"DKDO",2500
"31",96.7755864407698,"UNIF",3000
"32",268.334507713248,"MORE(A-opt)",3000
"33",250.286969137911,"MORE(L-opt)",3000
"34",317.576482444229,"LEV",3000
"35",316.590865534119,"DKDO",3000
"36",96.137521398086,"UNIF",3500
"37",274.882882045993,"MORE(A-opt)",3500
"38",255.942122197033,"MORE(L-opt)",3500
"39",336.681164159351,"LEV",3500
"40",334.632841967223,"DKDO",3500
"41",96.4371942456389,"UNIF",4000
"42",284.501395141509,"MORE(A-opt)",4000
"43",262.844568306036,"MORE(L-opt)",4000
"44",355.944954433552,"LEV",4000
"45",352.348109529956,"DKDO",4000
"46",96.3500121374679,"UNIF",4500
"47",293.543548145185,"MORE(A-opt)",4500
"48",270.366829164292,"MORE(L-opt)",4500
"49",372.88688138358,"LEV",4500
"50",368.731148153889,"DKDO",4500
"51",96.7944979607323,"UNIF",5000
"52",297.03204678622,"MORE(A-opt)",5000
"53",272.537057994947,"MORE(L-opt)",5000
"54",388.134952211448,"LEV",5000
"55",382.908975093609,"DKDO",5000
