"","trI","method","n"
"1",17.1931484210752,"UNIF",600
"2",18.5864488430404,"MORE(A-opt)",600
"3",19.3873214653778,"MORE(L-opt)",600
"4",20.1605167960223,"LEV",600
"5",20.246377384131,"DKDO",600
"6",18.2376287741886,"UNIF",800
"7",21.8827012553072,"MORE(A-opt)",800
"8",23.2412848458648,"MORE(L-opt)",800
"9",26.9342657526657,"LEV",800
"10",27.2684834032458,"DKDO",800
"11",17.930886391462,"UNIF",1000
"12",23.1954390764662,"MORE(A-opt)",1000
"13",24.5399984286957,"MORE(L-opt)",1000
"14",30.988049303907,"LEV",1000
"15",31.6950298325755,"DKDO",1000
"16",17.6250091047346,"UNIF",1500
"17",24.04179470656,"MORE(A-opt)",1500
"18",25.8642212292625,"MORE(L-opt)",1500
"19",39.6481491609173,"LEV",1500
"20",41.0694675745832,"DKDO",1500
"21",17.7940549521662,"UNIF",2000
"22",26.0585681425456,"MORE(A-opt)",2000
"23",27.7326950078631,"MORE(L-opt)",2000
"24",48.241108372846,"LEV",2000
"25",50.2364280623586,"DKDO",2000
"26",17.8670805832414,"UNIF",2500
"27",26.5199898156598,"MORE(A-opt)",2500
"28",28.050195959149,"MORE(L-opt)",2500
"29",54.2039672998558,"LEV",2500
"30",57.354989702542,"DKDO",2500
"31",17.3317400284572,"UNIF",3000
"32",27.5911606597081,"MORE(A-opt)",3000
"33",29.2142188400041,"MORE(L-opt)",3000
"34",58.2902158437567,"LEV",3000
"35",61.9516688232277,"DKDO",3000
"36",17.1946498982689,"UNIF",3500
"37",25.7246701116871,"MORE(A-opt)",3500
"38",27.6890311502408,"MORE(L-opt)",3500
"39",62.172041862562,"LEV",3500
"40",66.8942414720182,"DKDO",3500
"41",17.9622371804069,"UNIF",4000
"42",27.1159780637354,"MORE(A-opt)",4000
"43",29.0938258856066,"MORE(L-opt)",4000
"44",67.6074779086023,"LEV",4000
"45",73.6985235494643,"DKDO",4000
"46",17.9647255690421,"UNIF",4500
"47",29.064927731052,"MORE(A-opt)",4500
"48",30.9926853465951,"MORE(L-opt)",4500
"49",71.7626864388082,"LEV",4500
"50",79.2509958728249,"DKDO",4500
"51",17.9721124080439,"UNIF",5000
"52",30.3923385545133,"MORE(A-opt)",5000
"53",31.4845319550229,"MORE(L-opt)",5000
"54",79.3798883762563,"LEV",5000
"55",85.2137394314412,"DKDO",5000
