"","trI","method","n"
"1",155.628043016758,"UNIF",600
"2",165.314401057594,"MORE(A-opt)",600
"3",163.175951750919,"MORE(L-opt)",600
"4",182.793118692249,"LEV",600
"5",177.587396561473,"DKDO",600
"6",153.229581654336,"UNIF",800
"7",160.544569067563,"MORE(A-opt)",800
"8",154.382447060625,"MORE(L-opt)",800
"9",217.252495647466,"LEV",800
"10",214.1980588705,"DKDO",800
"11",157.458678612762,"UNIF",1000
"12",160.003717152719,"MORE(A-opt)",1000
"13",148.759342958371,"MORE(L-opt)",1000
"14",256.630757595467,"LEV",1000
"15",255.882764520994,"DKDO",1000
"16",157.604223822709,"UNIF",1500
"17",160.238666305406,"MORE(A-opt)",1500
"18",147.066988546575,"MORE(L-opt)",1500
"19",310.465577728339,"LEV",1500
"20",310.230836332431,"DKDO",1500
"21",157.451488098169,"UNIF",2000
"22",157.092139295455,"MORE(A-opt)",2000
"23",143.436615980335,"MORE(L-opt)",2000
"24",346.583338404085,"LEV",2000
"25",346.600423049613,"DKDO",2000
"26",151.994002248044,"UNIF",2500
"27",147.189400941451,"MORE(A-opt)",2500
"28",135.048448576488,"MORE(L-opt)",2500
"29",361.88578819174,"LEV",2500
"30",361.734429059312,"DKDO",2500
"31",153.612793596977,"UNIF",3000
"32",148.569668083341,"MORE(A-opt)",3000
"33",135.355468631164,"MORE(L-opt)",3000
"34",390.436206890956,"LEV",3000
"35",389.778913810792,"DKDO",3000
"36",154.582816356944,"UNIF",3500
"37",150.479513385819,"MORE(A-opt)",3500
"38",136.132366949518,"MORE(L-opt)",3500
"39",412.959066819344,"LEV",3500
"40",413.227766466035,"DKDO",3500
"41",153.092150612676,"UNIF",4000
"42",149.574288474301,"MORE(A-opt)",4000
"43",135.800318572594,"MORE(L-opt)",4000
"44",424.9228769376,"LEV",4000
"45",424.72913546969,"DKDO",4000
"46",152.102088449335,"UNIF",4500
"47",146.108282644292,"MORE(A-opt)",4500
"48",132.70447723103,"MORE(L-opt)",4500
"49",440.308519359043,"LEV",4500
"50",439.961328581352,"DKDO",4500
"51",153.812006929897,"UNIF",5000
"52",149.318607421575,"MORE(A-opt)",5000
"53",134.876279883194,"MORE(L-opt)",5000
"54",465.542264929798,"LEV",5000
"55",465.413970368006,"DKDO",5000
