"","mse","err","Methods","k"
"1",0.503080908885022,0.1657199,"OSMAC",300
"2",0.350034816983046,0.1656836,"OSMAC",400
"3",0.234605243117923,0.16568,"OSMAC",600
"4",0.176629973337148,0.16568,"OSMAC",800
"5",0.146986098428041,0.16568,"OSMAC",1000
"6",0.125498405194609,0.16568,"OSMAC",1200
"7",0.597390422229452,0.165793,"MORE",300
"8",0.424125058612722,0.1657609,"MORE",400
"9",0.271599998626664,0.1656954,"MORE",600
"10",0.199784813814134,0.1656857,"MORE",800
"11",0.161294315067347,0.1656853,"MORE",1000
"12",0.133891762094298,0.1656824,"MORE",1200
"13",0.364136462465245,0.16568,"IBOSS",300
"14",0.286376249106928,0.16568,"IBOSS",400
"15",0.208231851733632,0.16568,"IBOSS",600
"16",0.171016393471999,0.16568,"IBOSS",800
"17",0.141655941122213,0.16568,"IBOSS",1000
"18",0.120953840885568,0.16568,"IBOSS",1200
"19",0.374254662226638,0.1656821,"LEV",300
"20",0.233627163224397,0.1656804,"LEV",400
"21",0.154998062458393,0.16568,"LEV",600
"22",0.118668836987257,0.16568,"LEV",800
"23",0.100037648270217,0.16568,"LEV",1000
"24",0.0881066810768729,0.16568,"LEV",1200
"25",2.52662422858278,0.1657212,"DKDO",300
"26",1.11651369836329,0.1656872,"DKDO",400
"27",0.518805210009714,0.16568,"DKDO",600
"28",0.336211024239193,0.16568,"DKDO",800
"29",0.25035037085016,0.16568,"DKDO",1000
"30",0.197341868495618,0.16568,"DKDO",1200
"31",0.026062417408938,0.16568,"FULL",300
"32",0.026062417408938,0.16568,"FULL",400
"33",0.026062417408938,0.16568,"FULL",600
"34",0.026062417408938,0.16568,"FULL",800
"35",0.026062417408938,0.16568,"FULL",1000
"36",0.026062417408938,0.16568,"FULL",1200
