"","mse","err","Methods","k"
"1",0.319645133405047,0.2431774,"OSMAC",300
"2",0.22335344620327,0.2415009,"OSMAC",400
"3",0.140282639908181,0.2400272,"OSMAC",600
"4",0.099293503453845,0.239253,"OSMAC",800
"5",0.0794676008398215,0.238881,"OSMAC",1000
"6",0.0676937843858935,0.2386598,"OSMAC",1200
"7",0.375825404285452,0.243,"MORE",300
"8",0.242559850145763,0.2412925,"MORE",400
"9",0.145873549624564,0.2396279,"MORE",600
"10",0.108426163090051,0.2390686,"MORE",800
"11",0.0847747443960206,0.238702,"MORE",1000
"12",0.0728227062632051,0.2385212,"MORE",1200
"13",0.15292726326453,0.2410668,"IBOSS",300
"14",0.120401026396944,0.2402139,"IBOSS",400
"15",0.0897185321542737,0.2393714,"IBOSS",600
"16",0.0736502934816559,0.2389522,"IBOSS",800
"17",0.0597414427679372,0.2386528,"IBOSS",1000
"18",0.051991898982948,0.2384035,"IBOSS",1200
"19",0.132872358482671,0.2399703,"LEV",300
"20",0.103203911299787,0.2393457,"LEV",400
"21",0.0766455882520796,0.2386887,"LEV",600
"22",0.063049309902378,0.2384271,"LEV",800
"23",0.054748838175493,0.2382022,"LEV",1000
"24",0.0493721934581299,0.2381118,"LEV",1200
"25",0.161399590251203,0.2404336,"DKDO",300
"26",0.118082737488802,0.239658,"DKDO",400
"27",0.0856266184982006,0.2390633,"DKDO",600
"28",0.0704483083128185,0.2387445,"DKDO",800
"29",0.0598824331115125,0.2384654,"DKDO",1000
"30",0.0521810587855632,0.2383174,"DKDO",1200
"31",0.010988021148425,0.2375284,"FULL",300
"32",0.010988021148425,0.2375284,"FULL",400
"33",0.010988021148425,0.2375284,"FULL",600
"34",0.010988021148425,0.2375284,"FULL",800
"35",0.010988021148425,0.2375284,"FULL",1000
"36",0.010988021148425,0.2375284,"FULL",1200
