"","mse","err","Methods","k"
"1",0.512409932381426,0.2379195,"OSMAC",300
"2",0.345948879288621,0.2361972,"OSMAC",400
"3",0.213231859548291,0.2345956,"OSMAC",600
"4",0.15617626498345,0.2339477,"OSMAC",800
"5",0.12732214438881,0.2335513,"OSMAC",1000
"6",0.110245145703107,0.233412,"OSMAC",1200
"7",0.438893128061348,0.2378482,"MORE",300
"8",0.298014797020555,0.2361528,"MORE",400
"9",0.182599206247509,0.2345138,"MORE",600
"10",0.130429721575386,0.2338242,"MORE",800
"11",0.102765552721619,0.2335027,"MORE",1000
"12",0.0831263262767832,0.2331492,"MORE",1200
"13",0.343125213102082,0.2359418,"IBOSS",300
"14",0.267894997538111,0.2350579,"IBOSS",400
"15",0.198073636684688,0.2342593,"IBOSS",600
"16",0.15478061074716,0.2337712,"IBOSS",800
"17",0.131438741303117,0.2335813,"IBOSS",1000
"18",0.11013363899402,0.2333288,"IBOSS",1200
"19",0.236555216906062,0.2348603,"LEV",300
"20",0.188446882072547,0.2341377,"LEV",400
"21",0.139280489412487,0.233473,"LEV",600
"22",0.114652083337268,0.2331429,"LEV",800
"23",0.0967640944664195,0.2329247,"LEV",1000
"24",0.0865643036525651,0.2327817,"LEV",1200
"25",0.252019898738318,0.2354464,"DKDO",300
"26",0.195999622602055,0.2345624,"DKDO",400
"27",0.145228003338483,0.2337653,"DKDO",600
"28",0.119716372223924,0.2334079,"DKDO",800
"29",0.104300530921826,0.2331714,"DKDO",1000
"30",0.0925856646543761,0.2329667,"DKDO",1200
"31",0.0162141201060673,0.2321933,"FULL",300
"32",0.0162141201060673,0.2321933,"FULL",400
"33",0.0162141201060673,0.2321933,"FULL",600
"34",0.0162141201060673,0.2321933,"FULL",800
"35",0.0162141201060673,0.2321933,"FULL",1000
"36",0.0162141201060673,0.2321933,"FULL",1200
