"","mse","err","Methods","k"
"1",0.32571669049925,0.1862342,"OSMAC",300
"2",0.203584064634848,0.1844478,"OSMAC",400
"3",0.126891078255921,0.1832401,"OSMAC",600
"4",0.0917545908483898,0.1827765,"OSMAC",800
"5",0.0722630721809472,0.1824738,"OSMAC",1000
"6",0.0620198029653447,0.1822988,"OSMAC",1200
"7",0.26803585820827,0.1859106,"MORE",300
"8",0.178767632995513,0.1845157,"MORE",400
"9",0.101771127235076,0.1830728,"MORE",600
"10",0.0721554612080312,0.1825495,"MORE",800
"11",0.0565169742145338,0.182252,"MORE",1000
"12",0.0463630767822296,0.1820211,"MORE",1200
"13",0.179402320387304,0.1839485,"IBOSS",300
"14",0.144603417080397,0.1834281,"IBOSS",400
"15",0.105848680077666,0.182981,"IBOSS",600
"16",0.0819171552687533,0.1825505,"IBOSS",800
"17",0.0694729704031999,0.1823516,"IBOSS",1000
"18",0.0578522806394059,0.182194,"IBOSS",1200
"19",0.159709994923576,0.1833587,"LEV",300
"20",0.12891167132255,0.1827938,"LEV",400
"21",0.0945571925110485,0.1823338,"LEV",600
"22",0.076251092446874,0.1820762,"LEV",800
"23",0.0661780026104381,0.1818788,"LEV",1000
"24",0.0588524193593041,0.1818165,"LEV",1200
"25",0.159770213447245,0.1837533,"DKDO",300
"26",0.124266466135953,0.1831285,"DKDO",400
"27",0.0945709869964968,0.1825572,"DKDO",600
"28",0.0778556018092283,0.1822627,"DKDO",800
"29",0.0680806109581065,0.1820932,"DKDO",1000
"30",0.0604143754740333,0.1819728,"DKDO",1200
"31",0.0105092126121213,0.1813615,"FULL",300
"32",0.0105092126121213,0.1813615,"FULL",400
"33",0.0105092126121213,0.1813615,"FULL",600
"34",0.0105092126121213,0.1813615,"FULL",800
"35",0.0105092126121213,0.1813615,"FULL",1000
"36",0.0105092126121213,0.1813615,"FULL",1200
