"","mse","err","Methods","k"
"1",0.522735940680687,0.0424667,"OSMAC",300
"2",0.346783769722614,0.0420132,"OSMAC",400
"3",0.205500160191828,0.0416499,"OSMAC",600
"4",0.150991890748625,0.0414794,"OSMAC",800
"5",0.121256036888034,0.0414239,"OSMAC",1000
"6",0.105428686080891,0.0413666,"OSMAC",1200
"7",0.298701710166828,0.0419225,"MORE",300
"8",0.18880746153799,0.0416712,"MORE",400
"9",0.114971443593827,0.0414296,"MORE",600
"10",0.0866282049923295,0.0413603,"MORE",800
"11",0.0753708100501997,0.0413322,"MORE",1000
"12",0.0691067462684246,0.0412985,"MORE",1200
"13",0.416149588700029,0.0419037,"IBOSS",300
"14",0.330394550059355,0.0416858,"IBOSS",400
"15",0.235266611163504,0.0414634,"IBOSS",600
"16",0.182129988660998,0.0413886,"IBOSS",800
"17",0.144223450409022,0.0413172,"IBOSS",1000
"18",0.12044982048925,0.0413088,"IBOSS",1200
"19",0.172195785446049,0.0415027,"LEV",300
"20",0.137769445655886,0.0414034,"LEV",400
"21",0.106514576018841,0.0413281,"LEV",600
"22",0.08894459976249,0.0412929,"LEV",800
"23",0.0793466901551783,0.0412506,"LEV",1000
"24",0.0727824172762429,0.0412326,"LEV",1200
"25",0.191136393730525,0.0415825,"DKDO",300
"26",0.152650169523396,0.0414742,"DKDO",400
"27",0.120023754462261,0.0413597,"DKDO",600
"28",0.101559386251665,0.0413064,"DKDO",800
"29",0.0894926586576952,0.0412793,"DKDO",1000
"30",0.0799303170354047,0.04127,"DKDO",1200
"31",0.0407673789520146,0.0412005,"FULL",300
"32",0.0407673789520146,0.0412005,"FULL",400
"33",0.0407673789520146,0.0412005,"FULL",600
"34",0.0407673789520146,0.0412005,"FULL",800
"35",0.0407673789520146,0.0412005,"FULL",1000
"36",0.0407673789520146,0.0412005,"FULL",1200
