"","mse","err","Methods","k"
"1",7.56719847311622,0.4440992,"OSMAC",300
"2",5.0998245097776,0.4407715,"OSMAC",400
"3",3.2090250899138,0.4381286,"OSMAC",600
"4",2.38317367133154,0.4363603,"OSMAC",800
"5",1.85317120667242,0.4354106,"OSMAC",1000
"6",1.57663756641041,0.4347228,"OSMAC",1200
"7",5.98863127989862,0.445239,"MORE",300
"8",3.62238035331453,0.440949,"MORE",400
"9",1.99409259500803,0.4374385,"MORE",600
"10",1.49606125964439,0.4361031,"MORE",800
"11",1.13823316124325,0.4349519,"MORE",1000
"12",0.97314820753043,0.4342804,"MORE",1200
"13",2.37184491733117,0.4349761,"IBOSS",300
"14",1.82533091497168,0.4341884,"IBOSS",400
"15",1.30551897228374,0.4335662,"IBOSS",600
"16",1.10909379705031,0.4333947,"IBOSS",800
"17",0.946646150033176,0.4330262,"IBOSS",1000
"18",0.863083587210832,0.4329572,"IBOSS",1200
"19",0.762316739540975,0.4327565,"LEV",300
"20",0.651639642955338,0.4325881,"LEV",400
"21",0.526861807428313,0.4322544,"LEV",600
"22",0.458471500915688,0.432075,"LEV",800
"23",0.414325075936832,0.4319482,"LEV",1000
"24",0.381240449672866,0.4318516,"LEV",1200
"25",0.909800773910821,0.4331648,"DKDO",300
"26",0.744448223663658,0.4327955,"DKDO",400
"27",0.592250460725483,0.4323695,"DKDO",600
"28",0.503850754911789,0.4322132,"DKDO",800
"29",0.456548577277492,0.4320118,"DKDO",1000
"30",0.42044701830211,0.431968,"DKDO",1200
"31",0.211385138480481,0.4314192,"FULL",300
"32",0.211385138480481,0.4314192,"FULL",400
"33",0.211385138480481,0.4314192,"FULL",600
"34",0.211385138480481,0.4314192,"FULL",800
"35",0.211385138480481,0.4314192,"FULL",1000
"36",0.211385138480481,0.4314192,"FULL",1200
