"","mse","err","Methods","k"
"1",0.113170903634768,0.0885671,"OSMAC",300
"2",0.0667602888422395,0.0871023,"OSMAC",400
"3",0.0334816539668528,0.0861054,"OSMAC",600
"4",0.0238117965841395,0.0856757,"OSMAC",800
"5",0.0187118782889127,0.0854301301301301,"OSMAC",1000
"6",0.016425108710479,0.0853302,"OSMAC",1200
"7",0.0785797528689984,0.0872997,"MORE",300
"8",0.0468953493513958,0.0862980980980981,"MORE",400
"9",0.0262877049553879,0.0855522,"MORE",600
"10",0.0185616650250358,0.0852856856856857,"MORE",800
"11",0.0144174745781102,0.085147,"MORE",1000
"12",0.012492596452098,0.0850632,"MORE",1200
"13",0.0504484232092289,0.0856572,"IBOSS",300
"14",0.0376101468300992,0.0854259,"IBOSS",400
"15",0.0270170528415962,0.0852162,"IBOSS",600
"16",0.0209893118013209,0.0850925,"IBOSS",800
"17",0.0157475426488686,0.0850007007007007,"IBOSS",1000
"18",0.0141437697789183,0.0849562,"IBOSS",1200
"19",0.0440751242115595,0.0858582,"LEV",300
"20",0.0336736744096462,0.0856242,"LEV",400
"21",0.0229132368166033,0.0853041,"LEV",600
"22",0.0179006590580587,0.0851473,"LEV",800
"23",0.0154856496649081,0.0850546,"LEV",1000
"24",0.0133173750655144,0.0850053,"LEV",1200
"25",0.0534702768402891,0.0859183,"DKDO",300
"26",0.0358517883051442,0.0856301,"DKDO",400
"27",0.0243865182984161,0.0853516,"DKDO",600
"28",0.0185207863127337,0.0851803,"DKDO",800
"29",0.0153461195220629,0.0850758,"DKDO",1000
"30",0.0134387033190345,0.0850104,"DKDO",1200
"31",0.00374919635931553,0.0847626,"FULL",300
"32",0.00374919635931553,0.0847626,"FULL",400
"33",0.00374919635931553,0.0847626,"FULL",600
"34",0.00374919635931553,0.0847626,"FULL",800
"35",0.00374919635931553,0.0847626,"FULL",1000
"36",0.00374919635931553,0.0847626,"FULL",1200
