"","mse","err","Methods","k"
"1",3.03576387346997,0.1692076,"OSMAC",300
"2",3.01086647653075,0.1678889,"OSMAC",400
"3",2.98991226422464,0.1671895,"OSMAC",600
"4",2.98315559833977,0.1669073,"OSMAC",800
"5",2.98334594677782,0.1667763,"OSMAC",1000
"6",2.97607556454163,0.1667137,"OSMAC",1200
"7",9.49170035075461,0.1681552,"MORE",300
"8",9.48891665171044,0.1672581,"MORE",400
"9",9.36224823745914,0.1665037,"MORE",600
"10",9.40074419461735,0.1662967,"MORE",800
"11",9.40654879732489,0.1661997,"MORE",1000
"12",9.40713176727964,0.1661065,"MORE",1200
"13",2.34806194681923,0.1708529,"IBOSS",300
"14",2.43103645987169,0.1687769,"IBOSS",400
"15",2.53411146034506,0.1675647,"IBOSS",600
"16",2.59773924139699,0.1671955,"IBOSS",800
"17",2.64964128941059,0.1669992,"IBOSS",1000
"18",2.69188359895643,0.1668714,"IBOSS",1200
"19",2.32406370447992,0.1699842,"LEV",300
"20",2.32935170254752,0.1685978,"LEV",400
"21",2.34579204369722,0.1675326,"LEV",600
"22",2.36335644507253,0.1671283,"LEV",800
"23",2.38011283883393,0.1669165,"LEV",1000
"24",2.39494055309633,0.1668023,"LEV",1200
"25",2.57524486499444,0.1691843,"DKDO",300
"26",2.56607498290651,0.1679615,"DKDO",400
"27",2.57217353709601,0.167296,"DKDO",600
"28",2.58089137649604,0.1670052,"DKDO",800
"29",2.5923489501156,0.1668581,"DKDO",1000
"30",2.60344264555488,0.1667501,"DKDO",1200
"31",2.96318508884623,0.1664106,"FULL",300
"32",2.96318508884623,0.1664106,"FULL",400
"33",2.96318508884623,0.1664106,"FULL",600
"34",2.96318508884623,0.1664106,"FULL",800
"35",2.96318508884623,0.1664106,"FULL",1000
"36",2.96318508884623,0.1664106,"FULL",1200
