"","mse","err","Methods","n"
"1",0.357815308676339,0.1658299,"OSMAC",2500
"2",0.313732683048961,0.165831,"OSMAC",5000
"3",0.279119778723417,0.1658302,"OSMAC",10000
"4",0.255241703095851,0.1658291,"OSMAC",15000
"5",0.268667549163774,0.1658294,"OSMAC",20000
"6",0.383793645257688,0.1658798,"MORE",2500
"7",0.3431939407895,0.1658681,"MORE",5000
"8",0.343841066910964,0.165861,"MORE",10000
"9",0.323614263667088,0.1658565,"MORE",15000
"10",0.321637462766685,0.1658513,"MORE",20000
"11",0.283993594558134,0.1658291,"IBOSS",2500
"12",0.254410917615713,0.1658292,"IBOSS",5000
"13",0.240349957954992,0.1658291,"IBOSS",10000
"14",0.233116422251856,0.1658291,"IBOSS",15000
"15",0.225702486295865,0.1658291,"IBOSS",20000
"16",0.230860700820524,0.1658291,"LEV",2500
"17",0.186020529838738,0.1658291,"LEV",5000
"18",0.183178561330045,0.1658291,"LEV",10000
"19",0.175202146121092,0.1658291,"LEV",15000
"20",0.175992077502072,0.1658291,"LEV",20000
"21",0.352880368038637,0.1658292,"DKDO",2500
"22",0.38589663837788,0.165829,"DKDO",5000
"23",0.703037808942715,0.1658297,"DKDO",10000
"24",0.906796131161347,0.1658298,"DKDO",15000
"25",0.956773811844404,0.1658302,"DKDO",20000
"26",0.104333546453269,0.1658291,"FULL",2500
"27",0.0513172370645176,0.1658291,"FULL",5000
"28",0.026062417408938,0.1658291,"FULL",10000
"29",0.0171252043540925,0.1658291,"FULL",15000
"30",0.0129715159385672,0.1658291,"FULL",20000
