"","mse","err","Methods","n"
"1",0.203041898066364,0.2411318,"OSMAC",2500
"2",0.175345002639142,0.2406848,"OSMAC",5000
"3",0.164672253789888,0.2403832,"OSMAC",10000
"4",0.162964199654409,0.2404066,"OSMAC",15000
"5",0.157331502667601,0.2402911,"OSMAC",20000
"6",0.207681767729866,0.2406898,"MORE",2500
"7",0.193953848897078,0.2405452,"MORE",5000
"8",0.190512914362059,0.2403752,"MORE",10000
"9",0.182083401402907,0.2402527,"MORE",15000
"10",0.190728745122982,0.2402224,"MORE",20000
"11",0.131403203133804,0.2402535,"IBOSS",2500
"12",0.112437947189857,0.2397699,"IBOSS",5000
"13",0.102035742519006,0.2396606,"IBOSS",10000
"14",0.0975247491470212,0.2396103,"IBOSS",15000
"15",0.0933712850281225,0.2394797,"IBOSS",20000
"16",0.0986892291791184,0.2392331,"LEV",2500
"17",0.0895748272401558,0.2389342,"LEV",5000
"18",0.0872648930989196,0.2390041,"LEV",10000
"19",0.0838256381580625,0.2389303,"LEV",15000
"20",0.0849349467084408,0.2388836,"LEV",20000
"21",0.129170404025506,0.2398886,"DKDO",2500
"22",0.111163287179265,0.2394544,"DKDO",5000
"23",0.0988021523209475,0.2392868,"DKDO",10000
"24",0.0894767790743051,0.2391922,"DKDO",15000
"25",0.0845725770848471,0.2389571,"DKDO",20000
"26",0.0433787254230137,0.2381068,"FULL",2500
"27",0.0218704709884723,0.2376803,"FULL",5000
"28",0.010988021148425,0.2375326,"FULL",10000
"29",0.00700116285286359,0.2374492,"FULL",15000
"30",0.00526194428550341,0.2373762,"FULL",20000
