"","mse","err","Methods","n"
"1",0.308337303808381,0.2356712,"OSMAC",2500
"2",0.2896446333898,0.2354498,"OSMAC",5000
"3",0.263081744716965,0.23511,"OSMAC",10000
"4",0.259964604972823,0.2350483,"OSMAC",15000
"5",0.263036499693013,0.2350496,"OSMAC",20000
"6",0.242528820941657,0.2353065,"MORE",2500
"7",0.230005317204368,0.2352411,"MORE",5000
"8",0.216654249637098,0.2349365,"MORE",10000
"9",0.224909486603442,0.2351704,"MORE",15000
"10",0.226967875330029,0.2351356,"MORE",20000
"11",0.239711627890711,0.2346771,"IBOSS",2500
"12",0.233423689374455,0.2346968,"IBOSS",5000
"13",0.230703655145167,0.2345483,"IBOSS",10000
"14",0.227776571217361,0.2346599,"IBOSS",15000
"15",0.226354927884816,0.2345493,"IBOSS",20000
"16",0.172797843477723,0.234088,"LEV",2500
"17",0.15712050491248,0.2337918,"LEV",5000
"18",0.15922742137817,0.2336461,"LEV",10000
"19",0.164154292851678,0.2337086,"LEV",15000
"20",0.15743382456114,0.2334782,"LEV",20000
"21",0.191118452357157,0.2344458,"DKDO",2500
"22",0.174289009648522,0.2342412,"DKDO",5000
"23",0.167572865184316,0.2339899,"DKDO",10000
"24",0.170324830759318,0.2340812,"DKDO",15000
"25",0.16508783858991,0.2339294,"DKDO",20000
"26",0.0627077084348331,0.2326442,"FULL",2500
"27",0.0322055918730921,0.232258,"FULL",5000
"28",0.0162141201060673,0.2320645,"FULL",10000
"29",0.0108360100752502,0.2319695,"FULL",15000
"30",0.00839208061662552,0.2319087,"FULL",20000
