"","mse","err","Methods","n"
"1",0.191690054633223,0.1846609,"OSMAC",2500
"2",0.159093218988296,0.1842065,"OSMAC",5000
"3",0.155227596260036,0.1840614,"OSMAC",10000
"4",0.153486210633123,0.1839548,"OSMAC",15000
"5",0.148610967038125,0.1839117,"OSMAC",20000
"6",0.135231962049709,0.183976,"MORE",2500
"7",0.131144903863102,0.1838085,"MORE",5000
"8",0.127588700626968,0.1837899,"MORE",10000
"9",0.127053239283941,0.1838607,"MORE",15000
"10",0.125868270617593,0.1838525,"MORE",20000
"11",0.133120161086551,0.1834561,"IBOSS",2500
"12",0.121463547328418,0.1834102,"IBOSS",5000
"13",0.122747916470917,0.1834105,"IBOSS",10000
"14",0.113010691032178,0.1832401,"IBOSS",15000
"15",0.113651466152208,0.1832667,"IBOSS",20000
"16",0.105446868846946,0.1831574,"LEV",2500
"17",0.100239163141822,0.1828827,"LEV",5000
"18",0.107596866955321,0.1827575,"LEV",10000
"19",0.112053217293837,0.182708,"LEV",15000
"20",0.112036975816311,0.1827035,"LEV",20000
"21",0.107587593665641,0.1832555,"DKDO",2500
"22",0.10393145959231,0.1831106,"DKDO",5000
"23",0.10645481628333,0.1830013,"DKDO",10000
"24",0.102424480770608,0.1829026,"DKDO",15000
"25",0.106117395009935,0.1829054,"DKDO",20000
"26",0.0416575639076982,0.1821457,"FULL",2500
"27",0.0200756051244156,0.1817994,"FULL",5000
"28",0.0105092126121213,0.1816077,"FULL",10000
"29",0.00673017672840175,0.1815362,"FULL",15000
"30",0.00517054079155246,0.1815256,"FULL",20000
