"","mse","err","Methods","n"
"1",0.391897373124873,0.0421514,"OSMAC",2500
"2",0.294151377733696,0.041903,"OSMAC",5000
"3",0.245489369988511,0.0417794,"OSMAC",10000
"4",0.231631059949714,0.0417219,"OSMAC",15000
"5",0.218565899725857,0.0416964,"OSMAC",20000
"6",0.253734552627849,0.041855,"MORE",2500
"7",0.165344475805511,0.0416109,"MORE",5000
"8",0.143943510919358,0.0415191,"MORE",10000
"9",0.133443030635034,0.0415216,"MORE",15000
"10",0.130144729465346,0.0414731,"MORE",20000
"11",0.320096616072349,0.0420021,"IBOSS",2500
"12",0.278624381270761,0.0416876,"IBOSS",5000
"13",0.278857026368495,0.0416226,"IBOSS",10000
"14",0.273719682049311,0.0415802,"IBOSS",15000
"15",0.275242592612177,0.0415819,"IBOSS",20000
"16",0.191581435208845,0.041687,"LEV",2500
"17",0.139757834247715,0.041513,"LEV",5000
"18",0.118450840647076,0.0413794,"LEV",10000
"19",0.114946914384336,0.0413681,"LEV",15000
"20",0.114495758186089,0.0413954,"LEV",20000
"21",0.199761743029499,0.0417157,"DKDO",2500
"22",0.152451700265909,0.0415493,"DKDO",5000
"23",0.133119888830787,0.0414467,"DKDO",10000
"24",0.127968852579382,0.0414383,"DKDO",15000
"25",0.123009256708042,0.0414289,"DKDO",20000
"26",0.168075420709508,0.0415415,"FULL",2500
"27",0.0785043264715787,0.0413445,"FULL",5000
"28",0.0407673789520146,0.0412467,"FULL",10000
"29",0.0261911822713072,0.0412037,"FULL",15000
"30",0.0191843548600777,0.0411974,"FULL",20000
