"","mse","err","Methods","n"
"1",0.0565326740077747,0.0871391,"OSMAC",2500
"2",0.0496584029250884,0.0868941,"OSMAC",5000
"3",0.0447704421215369,0.0867187,"OSMAC",10000
"4",0.0434326064316337,0.0866719,"OSMAC",15000
"5",0.0442353314164018,0.0866097,"OSMAC",20000
"6",0.0459496549012997,0.0862866,"MORE",2500
"7",0.0347178528149484,0.086035,"MORE",5000
"8",0.0336749274403603,0.0860034,"MORE",10000
"9",0.0316916200213393,0.0859268268268268,"MORE",15000
"10",0.0331712967605182,0.0860112,"MORE",20000
"11",0.036571513857735,0.0858305,"IBOSS",2500
"12",0.0339130149341237,0.0855913,"IBOSS",5000
"13",0.02836709440036,0.0854536,"IBOSS",10000
"14",0.0295248663559779,0.0854166,"IBOSS",15000
"15",0.0305220119565276,0.0853636,"IBOSS",20000
"16",0.0345556427377806,0.0859467,"LEV",2500
"17",0.0285726502785264,0.0857365,"LEV",5000
"18",0.0272477111656178,0.0856011,"LEV",10000
"19",0.0270716051262907,0.0855626,"LEV",15000
"20",0.0273069207649708,0.0855316,"LEV",20000
"21",0.036367017763808,0.0859734,"DKDO",2500
"22",0.0295569921644985,0.0857122,"DKDO",5000
"23",0.0293321312421266,0.0856277,"DKDO",10000
"24",0.0297147428337777,0.0855474,"DKDO",15000
"25",0.0274436030313345,0.0855275,"DKDO",20000
"26",0.0149568650670061,0.085431,"FULL",2500
"27",0.00749811419973499,0.0851275,"FULL",5000
"28",0.00374919635931553,0.0849553,"FULL",10000
"29",0.00245575475492051,0.0848952,"FULL",15000
"30",0.00188053942456015,0.0848848,"FULL",20000
