"","mse","err","Methods","n"
"1",3.01077039714921,0.1680028,"OSMAC",2500
"2",3.0010017280686,0.1677554,"OSMAC",5000
"3",2.99380336680115,0.1676149,"OSMAC",10000
"4",2.99563984409132,0.167508,"OSMAC",15000
"5",2.99532161361083,0.167587,"OSMAC",20000
"6",9.39758490307128,0.1669805,"MORE",2500
"7",9.39653729629938,0.1669552,"MORE",5000
"8",9.36838593899584,0.1668743,"MORE",10000
"9",9.36037084728123,0.1668961,"MORE",15000
"10",9.38705633392781,0.1669034,"MORE",20000
"11",2.52136619936429,0.1689548,"IBOSS",2500
"12",2.49737276730516,0.1685027,"IBOSS",5000
"13",2.48356159352638,0.1681119,"IBOSS",10000
"14",2.48501979752942,0.1680354,"IBOSS",15000
"15",2.48687912667752,0.1679741,"IBOSS",20000
"16",2.4931686995859,0.1681083,"LEV",2500
"17",2.4060133682769,0.1681321,"LEV",5000
"18",2.33694034056339,0.1681039,"LEV",10000
"19",2.31045378495207,0.1679923,"LEV",15000
"20",2.28959612348722,0.1679832,"LEV",20000
"21",2.70873159541296,0.1678285,"DKDO",2500
"22",2.63309571318879,0.1677844,"DKDO",5000
"23",2.56812528311119,0.1676997,"DKDO",10000
"24",2.54418646939673,0.1676669,"DKDO",15000
"25",2.52384559780611,0.1676715,"DKDO",20000
"26",2.97512447820969,0.1667089,"FULL",2500
"27",2.96776589989031,0.1665923,"FULL",5000
"28",2.96318508884623,0.166545,"FULL",10000
"29",2.96187250397085,0.1665268,"FULL",15000
"30",2.96252459639007,0.1665151,"FULL",20000
