"","alpha","r","method"
"1",0.941320094875841,0.05,"UNIF"
"2",0.934489314860238,0.1,"UNIF"
"3",0.930277506881168,0.2,"UNIF"
"4",0.928350543298039,0.3,"UNIF"
"5",0.927306365373853,0.4,"UNIF"
"6",0.926571035789769,0.5,"UNIF"
"7",0.925973294342446,0.6,"UNIF"
"8",0.925596053624572,0.7,"UNIF"
"9",0.925256978848136,0.8,"UNIF"
"10",0.925013204584292,0.9,"UNIF"
"11",0.92455850314845,0.05,"MORE(A-opt)"
"12",0.919504064140752,0.1,"MORE(A-opt)"
"13",0.917510490788845,0.2,"MORE(A-opt)"
"14",0.917440203183592,0.3,"MORE(A-opt)"
"15",0.917747757332786,0.4,"MORE(A-opt)"
"16",0.918207483542262,0.5,"MORE(A-opt)"
"17",0.91867921943904,0.6,"MORE(A-opt)"
"18",0.919322847648732,0.7,"MORE(A-opt)"
"19",0.920372042591575,0.8,"MORE(A-opt)"
"20",0.921904140056775,0.9,"MORE(A-opt)"
"21",0.933583702856147,0.05,"MORE(L-opt)"
"22",0.928158326759985,0.1,"MORE(L-opt)"
"23",0.925314121499073,0.2,"MORE(L-opt)"
"24",0.92450378606411,0.3,"MORE(L-opt)"
"25",0.924319937601233,0.4,"MORE(L-opt)"
"26",0.924255808844268,0.5,"MORE(L-opt)"
"27",0.9240747004351,0.6,"MORE(L-opt)"
"28",0.923991871650929,0.7,"MORE(L-opt)"
"29",0.923929957381064,0.8,"MORE(L-opt)"
"30",0.924100595788168,0.9,"MORE(L-opt)"
"31",0.940639204492772,0.05,"IBOSS"
"32",0.935425753150519,0.1,"IBOSS"
"33",0.929922111418227,0.2,"IBOSS"
"34",0.928380182508459,0.3,"IBOSS"
"35",0.927052110796506,0.4,"IBOSS"
"36",0.92645713896094,0.5,"IBOSS"
"37",0.925771503938146,0.6,"IBOSS"
"38",0.925545515097709,0.7,"IBOSS"
"39",0.925323662263925,0.8,"IBOSS"
"40",0.924916402770416,0.9,"IBOSS"
"41",0.815497047441616,0.05,"LEV"
"42",0.828842702285766,0.1,"LEV"
"43",0.847215143073458,0.2,"LEV"
"44",0.860762885337735,0.3,"LEV"
"45",0.871889335727452,0.4,"LEV"
"46",0.881719483268833,0.5,"LEV"
"47",0.89071142112745,0.6,"LEV"
"48",0.89920238470948,0.7,"LEV"
"49",0.907447387523615,0.8,"LEV"
"50",0.915775319410993,0.9,"LEV"
"51",0.839664679145814,0.05,"DKDO"
"52",0.852135001408256,0.1,"DKDO"
"53",0.86592133310018,0.2,"DKDO"
"54",0.876488202122048,0.3,"DKDO"
"55",0.884837097210003,0.4,"DKDO"
"56",0.892465300367924,0.5,"DKDO"
"57",0.899222724670907,0.6,"DKDO"
"58",0.905739477032441,0.7,"DKDO"
"59",0.911938378002057,0.8,"DKDO"
"60",0.918029434338877,0.9,"DKDO"
