"","alpha","r","method"
"1",0.935294543937508,0.05,"UNIF"
"2",0.92966597969951,0.1,"UNIF"
"3",0.927840521111919,0.2,"UNIF"
"4",0.926829256556395,0.3,"UNIF"
"5",0.926292086361811,0.4,"UNIF"
"6",0.92559504859538,0.5,"UNIF"
"7",0.92546549954424,0.6,"UNIF"
"8",0.925114773754482,0.7,"UNIF"
"9",0.925023475912136,0.8,"UNIF"
"10",0.924930224676878,0.9,"UNIF"
"11",0.871426630683778,0.05,"MORE(A-opt)"
"12",0.869693186226406,0.1,"MORE(A-opt)"
"13",0.872893530810538,0.2,"MORE(A-opt)"
"14",0.877588040568834,0.3,"MORE(A-opt)"
"15",0.882755217322816,0.4,"MORE(A-opt)"
"16",0.88845803273142,0.5,"MORE(A-opt)"
"17",0.894527216359221,0.6,"MORE(A-opt)"
"18",0.901057028179644,0.7,"MORE(A-opt)"
"19",0.908066941949809,0.8,"MORE(A-opt)"
"20",0.915817304979773,0.9,"MORE(A-opt)"
"21",0.893498538168095,0.05,"MORE(L-opt)"
"22",0.890259939146206,0.1,"MORE(L-opt)"
"23",0.890375512440854,0.2,"MORE(L-opt)"
"24",0.892562263037419,0.3,"MORE(L-opt)"
"25",0.895369461992743,0.4,"MORE(L-opt)"
"26",0.898652490333929,0.5,"MORE(L-opt)"
"27",0.902486718483695,0.6,"MORE(L-opt)"
"28",0.906925576028558,0.7,"MORE(L-opt)"
"29",0.91190367990862,0.8,"MORE(L-opt)"
"30",0.917618531156265,0.9,"MORE(L-opt)"
"31",0.933528755145737,0.05,"IBOSS"
"32",0.930903682563711,0.1,"IBOSS"
"33",0.927502615336558,0.2,"IBOSS"
"34",0.926608084956599,0.3,"IBOSS"
"35",0.925706316904416,0.4,"IBOSS"
"36",0.925506783582498,0.5,"IBOSS"
"37",0.925244286907624,0.6,"IBOSS"
"38",0.925166954793191,0.7,"IBOSS"
"39",0.925057010784929,0.8,"IBOSS"
"40",0.924797566797052,0.9,"IBOSS"
"41",0.854064772588662,0.05,"LEV"
"42",0.843563934444114,0.1,"LEV"
"43",0.830288193067205,0.2,"LEV"
"44",0.831229243651225,0.3,"LEV"
"45",0.850205043375835,0.4,"LEV"
"46",0.866090531077986,0.5,"LEV"
"47",0.879897021302018,0.6,"LEV"
"48",0.892303098449432,0.7,"LEV"
"49",0.903724935024223,0.8,"LEV"
"50",0.914465479972133,0.9,"LEV"
"51",0.810294378635142,0.05,"DKDO"
"52",0.813559708772892,0.1,"DKDO"
"53",0.835916393954931,0.2,"DKDO"
"54",0.852659343737643,0.3,"DKDO"
"55",0.865706708917242,0.4,"DKDO"
"56",0.877100327394572,0.5,"DKDO"
"57",0.887231860513317,0.6,"DKDO"
"58",0.896847239538207,0.7,"DKDO"
"59",0.906071880773312,0.8,"DKDO"
"60",0.915217619760135,0.9,"DKDO"
