"","alpha","r","method"
"1",0.942961631217462,0.05,"UNIF"
"2",0.935310726489598,0.1,"UNIF"
"3",0.930666752606217,0.2,"UNIF"
"4",0.928702849133552,0.3,"UNIF"
"5",0.92748689418784,0.4,"UNIF"
"6",0.926786003736965,0.5,"UNIF"
"7",0.926031809219845,0.6,"UNIF"
"8",0.925624763689983,0.7,"UNIF"
"9",0.925319268093958,0.8,"UNIF"
"10",0.925035820076397,0.9,"UNIF"
"11",0.903200494722107,0.05,"MORE(A-opt)"
"12",0.897593686060673,0.1,"MORE(A-opt)"
"13",0.894776932133977,0.2,"MORE(A-opt)"
"14",0.894643328153598,0.3,"MORE(A-opt)"
"15",0.895643279801306,0.4,"MORE(A-opt)"
"16",0.897653954701307,0.5,"MORE(A-opt)"
"17",0.900432898715292,0.6,"MORE(A-opt)"
"18",0.904259066757174,0.7,"MORE(A-opt)"
"19",0.909324520068173,0.8,"MORE(A-opt)"
"20",0.915922208937339,0.9,"MORE(A-opt)"
"21",0.913291896014439,0.05,"MORE(L-opt)"
"22",0.907066724369314,0.1,"MORE(L-opt)"
"23",0.90326516332078,0.2,"MORE(L-opt)"
"24",0.902093713551381,0.3,"MORE(L-opt)"
"25",0.902486925561391,0.4,"MORE(L-opt)"
"26",0.903578254979689,0.5,"MORE(L-opt)"
"27",0.905400136369043,0.6,"MORE(L-opt)"
"28",0.908240248585893,0.7,"MORE(L-opt)"
"29",0.911935401258455,0.8,"MORE(L-opt)"
"30",0.917004955083549,0.9,"MORE(L-opt)"
"31",0.941036704882153,0.05,"IBOSS"
"32",0.935977940176315,0.1,"IBOSS"
"33",0.930706765468593,0.2,"IBOSS"
"34",0.928922664556013,0.3,"IBOSS"
"35",0.927518382888565,0.4,"IBOSS"
"36",0.926814313521122,0.5,"IBOSS"
"37",0.926048251844982,0.6,"IBOSS"
"38",0.925722680825998,0.7,"IBOSS"
"39",0.92545853960567,0.8,"IBOSS"
"40",0.925021367480641,0.9,"IBOSS"
"41",0.891073524765383,0.05,"LEV"
"42",0.872988528122109,0.1,"LEV"
"43",0.852255224092069,0.2,"LEV"
"44",0.85220492987695,0.3,"LEV"
"45",0.863982084621145,0.4,"LEV"
"46",0.87485110392638,0.5,"LEV"
"47",0.885126890418208,0.6,"LEV"
"48",0.895024914869105,0.7,"LEV"
"49",0.904797255376418,0.8,"LEV"
"50",0.914631426447064,0.9,"LEV"
"51",0.833174618610291,0.05,"DKDO"
"52",0.840478630502667,0.1,"DKDO"
"53",0.854561665772281,0.2,"DKDO"
"54",0.866212784600396,0.3,"DKDO"
"55",0.875776851198506,0.4,"DKDO"
"56",0.884765019486669,0.5,"DKDO"
"57",0.893026774282943,0.6,"DKDO"
"58",0.90112352637238,0.7,"DKDO"
"59",0.909054691825094,0.8,"DKDO"
"60",0.916992630497568,0.9,"DKDO"
