"","alpha","r","method"
"1",0.943285679659477,0.05,"UNIF"
"2",0.93596034601016,0.1,"UNIF"
"3",0.93145104788498,0.2,"UNIF"
"4",0.928920500288029,0.3,"UNIF"
"5",0.927672927741622,0.4,"UNIF"
"6",0.926815250866781,0.5,"UNIF"
"7",0.9261716994011,0.6,"UNIF"
"8",0.925692875201777,0.7,"UNIF"
"9",0.925411605864953,0.8,"UNIF"
"10",0.925036328436726,0.9,"UNIF"
"11",0.88615936707422,0.05,"MORE(A-opt)"
"12",0.880377114240269,0.1,"MORE(A-opt)"
"13",0.87795062628313,0.2,"MORE(A-opt)"
"14",0.878526703481569,0.3,"MORE(A-opt)"
"15",0.880729964646061,0.4,"MORE(A-opt)"
"16",0.884462393114614,0.5,"MORE(A-opt)"
"17",0.889658353816158,0.6,"MORE(A-opt)"
"18",0.896341906429136,0.7,"MORE(A-opt)"
"19",0.904622372208385,0.8,"MORE(A-opt)"
"20",0.914217308267119,0.9,"MORE(A-opt)"
"21",0.89362824443131,0.05,"MORE(L-opt)"
"22",0.887334218323838,0.1,"MORE(L-opt)"
"23",0.883936109932779,0.2,"MORE(L-opt)"
"24",0.883864718929803,0.3,"MORE(L-opt)"
"25",0.885519177985512,0.4,"MORE(L-opt)"
"26",0.888471036267591,0.5,"MORE(L-opt)"
"27",0.892686545340173,0.6,"MORE(L-opt)"
"28",0.898420966357935,0.7,"MORE(L-opt)"
"29",0.905605786522405,0.8,"MORE(L-opt)"
"30",0.914424858606796,0.9,"MORE(L-opt)"
"31",0.943038491979294,0.05,"IBOSS"
"32",0.936934344133447,0.1,"IBOSS"
"33",0.931162359045827,0.2,"IBOSS"
"34",0.92927670771079,0.3,"IBOSS"
"35",0.927751569040197,0.4,"IBOSS"
"36",0.927013708221106,0.5,"IBOSS"
"37",0.926206160404438,0.6,"IBOSS"
"38",0.925780318769068,0.7,"IBOSS"
"39",0.928668076441372,0.8,"IBOSS"
"40",0.941456207053218,0.9,"IBOSS"
"41",0.932731751607547,0.05,"LEV"
"42",0.912715135693763,0.1,"LEV"
"43",0.888953248627326,0.2,"LEV"
"44",0.872532072735402,0.3,"LEV"
"45",0.860251202159514,0.4,"LEV"
"46",0.867167530120401,0.5,"LEV"
"47",0.879187247877841,0.6,"LEV"
"48",0.890914364117662,0.7,"LEV"
"49",0.90242789790649,0.8,"LEV"
"50",0.9137288538282,0.9,"LEV"
"51",0.889278430153425,0.05,"DKDO"
"52",0.877957031332187,0.1,"DKDO"
"53",0.862687483705533,0.2,"DKDO"
"54",0.855806171422343,0.3,"DKDO"
"55",0.862445790104947,0.4,"DKDO"
"56",0.873160417063702,0.5,"DKDO"
"57",0.883471423140806,0.6,"DKDO"
"58",0.893742312163121,0.7,"DKDO"
"59",0.904059142274528,0.8,"DKDO"
"60",0.91445709777443,0.9,"DKDO"
