"","alpha","r","method"
"1",0.958578342169477,0.05,"UNIF"
"2",0.944542182106172,0.1,"UNIF"
"3",0.936565721751871,0.2,"UNIF"
"4",0.932265810275119,0.3,"UNIF"
"5",0.929996486458388,0.4,"UNIF"
"6",0.928671063250367,0.5,"UNIF"
"7",0.927475078050693,0.6,"UNIF"
"8",0.92652985971708,0.7,"UNIF"
"9",0.925773958554547,0.8,"UNIF"
"10",0.925210467387954,0.9,"UNIF"
"11",0.76747518234638,0.05,"MORE(A-opt)"
"12",0.767498723597299,0.1,"MORE(A-opt)"
"13",0.786713765336978,0.2,"MORE(A-opt)"
"14",0.811124050314305,0.3,"MORE(A-opt)"
"15",0.833641219235765,0.4,"MORE(A-opt)"
"16",0.853565029681898,0.5,"MORE(A-opt)"
"17",0.871166213935355,0.6,"MORE(A-opt)"
"18",0.886793970559034,0.7,"MORE(A-opt)"
"19",0.900766941438696,0.8,"MORE(A-opt)"
"20",0.913348194848269,0.9,"MORE(A-opt)"
"21",0.787021986350561,0.05,"MORE(L-opt)"
"22",0.783464502371862,0.1,"MORE(L-opt)"
"23",0.796172978357076,0.2,"MORE(L-opt)"
"24",0.816015053332226,0.3,"MORE(L-opt)"
"25",0.836054782318539,0.4,"MORE(L-opt)"
"26",0.854729002154783,0.5,"MORE(L-opt)"
"27",0.871697156437642,0.6,"MORE(L-opt)"
"28",0.887006443438142,0.7,"MORE(L-opt)"
"29",0.900834611287302,0.8,"MORE(L-opt)"
"30",0.913359982308241,0.9,"MORE(L-opt)"
"31",0.957610953016118,0.05,"IBOSS"
"32",0.946011113820635,0.1,"IBOSS"
"33",0.935978404508846,0.2,"IBOSS"
"34",0.968494140116399,0.3,"IBOSS"
"35",0.999728824268474,0.4,"IBOSS"
"36",1.02395632752049,0.5,"IBOSS"
"37",1.04375163903239,0.6,"IBOSS"
"38",1.06048833644005,0.7,"IBOSS"
"39",1.07498632318447,0.8,"IBOSS"
"40",1.08777445379631,0.9,"IBOSS"
"41",0.710743963115204,0.05,"LEV"
"42",0.726064017001398,0.1,"LEV"
"43",0.770197112740506,0.2,"LEV"
"44",0.803356599914177,0.3,"LEV"
"45",0.829814370642566,0.4,"LEV"
"46",0.851694080674407,0.5,"LEV"
"47",0.870297317797212,0.6,"LEV"
"48",0.886433693993957,0.7,"LEV"
"49",0.900649118236224,0.8,"LEV"
"50",0.91332705991306,0.9,"LEV"
"51",0.708042989122679,0.05,"DKDO"
"52",0.732937217606731,0.1,"DKDO"
"53",0.773884833506952,0.2,"DKDO"
"54",0.806633646848982,0.3,"DKDO"
"55",0.832966120763932,0.4,"DKDO"
"56",0.854479034528171,0.5,"DKDO"
"57",0.872470032214666,0.6,"DKDO"
"58",0.887996759635957,0.7,"DKDO"
"59",0.901614749896215,0.8,"DKDO"
"60",0.913752904083009,0.9,"DKDO"
