"","alpha","r","method"
"1",0.953153534343019,0.05,"UNIF"
"2",0.943105030676047,0.1,"UNIF"
"3",0.935454323546678,0.2,"UNIF"
"4",0.932384554254506,0.3,"UNIF"
"5",0.930150872907591,0.4,"UNIF"
"6",0.928227478091143,0.5,"UNIF"
"7",0.927353660089265,0.6,"UNIF"
"8",0.926433290411607,0.7,"UNIF"
"9",0.925816717831423,0.8,"UNIF"
"10",0.925268502988827,0.9,"UNIF"
"11",0.874902731612655,0.05,"MORE(A-opt)"
"12",0.868428362538213,0.1,"MORE(A-opt)"
"13",0.870486405964874,0.2,"MORE(A-opt)"
"14",0.875836847276225,0.3,"MORE(A-opt)"
"15",0.882477409711887,0.4,"MORE(A-opt)"
"16",0.889000289064035,0.5,"MORE(A-opt)"
"17",0.895758753310322,0.6,"MORE(A-opt)"
"18",0.902519313938913,0.7,"MORE(A-opt)"
"19",0.909377784613707,0.8,"MORE(A-opt)"
"20",0.916639932411026,0.9,"MORE(A-opt)"
"21",0.890167755942817,0.05,"MORE(L-opt)"
"22",0.882047483298761,0.1,"MORE(L-opt)"
"23",0.881673794713441,0.2,"MORE(L-opt)"
"24",0.884624893418779,0.3,"MORE(L-opt)"
"25",0.889397554857677,0.4,"MORE(L-opt)"
"26",0.894011034981024,0.5,"MORE(L-opt)"
"27",0.899383725614396,0.6,"MORE(L-opt)"
"28",0.904802115948697,0.7,"MORE(L-opt)"
"29",0.910723598943624,0.8,"MORE(L-opt)"
"30",0.917135809985423,0.9,"MORE(L-opt)"
"31",0.952714503702601,0.05,"IBOSS"
"32",0.943992782483564,0.1,"IBOSS"
"33",0.93548077464144,0.2,"IBOSS"
"34",0.932432089479289,0.3,"IBOSS"
"35",0.929966334706355,0.4,"IBOSS"
"36",0.942363764611728,0.5,"IBOSS"
"37",0.962159076123634,0.6,"IBOSS"
"38",0.978895773531288,0.7,"IBOSS"
"39",0.993393760275709,0.8,"IBOSS"
"40",1.00618189088755,0.9,"IBOSS"
"41",0.720703003482225,0.05,"LEV"
"42",0.75887838421568,0.1,"LEV"
"43",0.801021714323921,0.2,"LEV"
"44",0.827965669538177,0.3,"LEV"
"45",0.848346129059425,0.4,"LEV"
"46",0.865022561528178,0.5,"LEV"
"47",0.879345819990837,0.6,"LEV"
"48",0.892037828744934,0.7,"LEV"
"49",0.903600444653154,0.8,"LEV"
"50",0.914368641205271,0.9,"LEV"
"51",0.737362401909699,0.05,"DKDO"
"52",0.773684294583744,0.1,"DKDO"
"53",0.812605408175373,0.2,"DKDO"
"54",0.837576462672259,0.3,"DKDO"
"55",0.856165879566708,0.4,"DKDO"
"56",0.871379255457487,0.5,"DKDO"
"57",0.884237815806005,0.6,"DKDO"
"58",0.895643763648887,0.7,"DKDO"
"59",0.905985912996694,0.8,"DKDO"
"60",0.91555674831251,0.9,"DKDO"
