"","alpha","r","method"
"1",0.9472743878899,0.05,"UNIF"
"2",0.938154413481581,0.1,"UNIF"
"3",0.932339189626223,0.2,"UNIF"
"4",0.929600891405456,0.3,"UNIF"
"5",0.928397982899054,0.4,"UNIF"
"6",0.927245456475115,0.5,"UNIF"
"7",0.926520091062745,0.6,"UNIF"
"8",0.92594286305586,0.7,"UNIF"
"9",0.92542111764589,0.8,"UNIF"
"10",0.925126257209269,0.9,"UNIF"
"11",0.945220271087214,0.05,"MORE(A-opt)"
"12",0.936096410917919,0.1,"MORE(A-opt)"
"13",0.929116279148821,0.2,"MORE(A-opt)"
"14",0.925792782657661,0.3,"MORE(A-opt)"
"15",0.923570681440794,0.4,"MORE(A-opt)"
"16",0.921533117096373,0.5,"MORE(A-opt)"
"17",0.919734339495938,0.6,"MORE(A-opt)"
"18",0.91812223007608,0.7,"MORE(A-opt)"
"19",0.916335916495777,0.8,"MORE(A-opt)"
"20",0.916268148226565,0.9,"MORE(A-opt)"
"21",0.962257284051334,0.05,"MORE(L-opt)"
"22",0.952178857700513,0.1,"MORE(L-opt)"
"23",0.944722089501911,0.2,"MORE(L-opt)"
"24",0.940244464252077,0.3,"MORE(L-opt)"
"25",0.936685929161447,0.4,"MORE(L-opt)"
"26",0.933183360341703,0.5,"MORE(L-opt)"
"27",0.929541925401356,0.6,"MORE(L-opt)"
"28",0.925366341865712,0.7,"MORE(L-opt)"
"29",0.919856814739394,0.8,"MORE(L-opt)"
"30",0.916577035397573,0.9,"MORE(L-opt)"
"31",0.945388003354103,0.05,"IBOSS"
"32",0.938999792086379,0.1,"IBOSS"
"33",0.93217209663357,0.2,"IBOSS"
"34",0.9534587282428,0.3,"IBOSS"
"35",0.984693412394875,0.4,"IBOSS"
"36",1.00892091564689,0.5,"IBOSS"
"37",1.02871622715879,0.6,"IBOSS"
"38",1.04545292456645,0.7,"IBOSS"
"39",1.05995091131087,0.8,"IBOSS"
"40",1.07273904192272,0.9,"IBOSS"
"41",0.755313364472285,0.05,"LEV"
"42",0.776916525199281,0.1,"LEV"
"43",0.806925213001606,0.2,"LEV"
"44",0.829008019971009,0.3,"LEV"
"45",0.84720435487827,0.4,"LEV"
"46",0.863007331108674,0.5,"LEV"
"47",0.877202295912144,0.6,"LEV"
"48",0.890211100953947,0.7,"LEV"
"49",0.902338648895728,0.8,"LEV"
"50",0.913784308967169,0.9,"LEV"
"51",0.761231838150873,0.05,"DKDO"
"52",0.783849520040935,0.1,"DKDO"
"53",0.812819567078018,0.2,"DKDO"
"54",0.834395638620654,0.3,"DKDO"
"55",0.851726654194288,0.4,"DKDO"
"56",0.866833225708146,0.5,"DKDO"
"57",0.880297338213684,0.6,"DKDO"
"58",0.892722756309215,0.7,"DKDO"
"59",0.904177796467689,0.8,"DKDO"
"60",0.914775287612848,0.9,"DKDO"
